Nombre,Descripcion,Año,Autor_empresa
La Hipótesis Cuántica,"Max Planck (físico teórico alemán), introdujo el concepto de niveles de energía cuantificada para explicar el fenómeno de la radiación de cuerpo negro. Propuso que la energía no se emite de manera continua, sino en paquetes discretos llamados cuantos. Esto marcó el comienzo de una nueva era en la física y marcó las bases para el desarrollo de la mecánica cuántica.",1900,Max Planck
El Efecto Fotoeléctrico,"Albert Einstein publicó un estudio sobre el efecto fotoeléctrico, en el cual explicó que la luz está compuesta por partículas denominadas fotones. Cada uno de estos fotones porta una cantidad de energía discreta, la cual es proporcional a su frecuencia. Su análisis reforzó la hipótesis cuántica propuesta por Planck, y contribuyó significativamente a la creciente comprensión del comportamiento de la luz, similar al de las partículas.",1905,Albert Einstein
El Modelo Atómico de Bohr,"Desarrollo del modelo atómico de Bohr, en el cual se propuso que los electrones orbitan el núcleo en niveles de energía cuantizados. Este modelo proporcionó una comprensión más profunda de la estructura atómica y la naturaleza cuantizada de la energía. También introdujo el concepto de saltos cuánticos, donde los electrones podrían moverse entre niveles de energía al absorber o emitir fotones, demostrando aún más la importancia de la cuantización en los sistemas atómicos.",1913,Niels Bohr
El Principio de Incertidumbre,"Werner Heisenberg, un físico alemán, formuló el principio de incertidumbre, un concepto fundamental en la mecánica cuántica. El principio establece que es imposible conocer simultáneamente tanto la posición como el momento de una partícula con perfecta precisión. Esto destacó las limitaciones inherentes en la medición de sistemas cuánticos.",1927,Werner Heisenberg
Paradoja de Einstein-Podolsky-Rosen (EPR),"Artículo introduciendo la paradoja EPR, que cuestionaba la completitud de la mecánica cuántica debido al fenómeno del entrelazamiento. El entrelazamiento implica que las propiedades de dos o más partículas pueden estar correlacionadas de tal manera que el estado de una partícula afecta instantáneamente el estado de la otra, independientemente de la distancia entre ellas.",1935,Albert Einstein Boris Podolsky y Nathan Rosen
Desigualdades de Bell,"El físico John Bell formuló las desigualdades de Bell, que proporcionaron una forma de probar experimentalmente la validez de la paradoja EPR. La violación de las desigualdades de Bell en experimentos posteriores confirmó la existencia del entrelazamiento, un recurso clave para la computación cuántica.",1964,John Bell
Primera Conferencia sobre Física y Computación (PhysComp),"Este encuentro interdisciplinario facilitó el intercambio de ideas y la exploración de enfoques novedosos para la computación cuántica, lo que finalmente llevó al surgimiento del campo tal como lo conocemos hoy. La conferencia PhysComp demostró el creciente interés y reconocimiento del potencial impacto de la mecánica cuántica en la computación y el procesamiento de información.",1980,
Propuesta de Richard Feynman sobre las Computadoras Cuánticas,"El físico Richard Feynman dio una conferencia seminal en la Primera Conferencia sobre la Física de la Computación, proponiendo que una computadora que opera según los principios cuánticos podría simular eficientemente sistemas cuánticos. La perspicacia de Feynman fue crucial ya que destacó las limitaciones de las computadoras clásicas en la simulación de fenómenos cuánticos.",1981,Richard Feynman
las Máquinas de Turing Cuánticas,"Artículo describiendo un modelo mecánico cuántico de una máquina de Turing. Este modelo, marco las bases para los modelos de computación cuántica al demostrar que los principios de la mecánica cuántica podían aplicarse a los fundamentos teóricos de la computación. Este trabajo mostró que los sistemas cuánticos podrían utilizarse para realizar cálculos de una manera análoga a las máquinas de Turing clásicas",1982,Paul Benioff
Computadora Cuántica Universal,"Artículo que introdujo el concepto de una computadora cuántica universal. Deutsch se basó en las ideas de Feynman y Benioff, y proporcionó un marco más concreto para entender cómo podrían operar las computadoras cuánticas. Este trabajo marco las bases para el desarrollo de algoritmos cuánticos.",1985,David Deutsch
Algoritmo de Shor,"Es el primer algoritmo cuántico, conocido ahora como el algoritmo de Shor. Este algoritmo utiliza los principios de la mecánica cuántica para factorizar eficientemente números grandes, una tarea que tomaría un tiempo exponencialmente mayor en computadoras clásicas. La habilidad de factorizar números grandes tiene implicaciones significativas para la criptografía, ya que muchos esquemas de encriptación, como RSA, dependen de la dificultad de este problema para su seguridad. Demostró el potencial poder de la computación cuántica, resaltando su habilidad para resolver problemas que previamente se consideraban intratables para las computadoras clásicas.",1994,Peter Shor
Algoritmo de Grover,"Algoritmo cuántico que busca eficientemente en bases de datos no ordenadas. Puede buscar en una base de datos de N elementos en aproximadamente √N pasos, lo cual es mucho más rápido que los algoritmos clásicos que requieren alrededor de N pasos. Aunque no es tan rápido como el algoritmo de Shor, el algoritmo de Grover muestra cómo la computación cuántica puede ser superior a la computación clásica en ciertas tareas.",1996,Lov Grover
Recocido Cuántico,"Afirmaron haber construido la primera computadora cuántica comercialmente disponible, la D-Wave One. Este sistema se basaba en el recocido cuántico, un enfoque especializado de la computación cuántica que se centra en resolver problemas de optimización. Sin embargo, la aplicabilidad práctica y la verdadera naturaleza cuántica de los sistemas de D-Wave fueron objeto de debate entre los investigadores, con algunos argumentando que los sistemas proporcionaban solo una aceleración limitada en comparación con las computadoras clásicas.",2011,Compañía canadiense D-Wave Systems
Supremacía Cuántica de Google,"La computadora cuántica de Google resolvió un problema específico en 200 segundos que llevaría aproximadamente 10,000 años a una supercomputadora clásica. Este logro marcó la primera vez que una computadora cuántica superó a las computadoras clásicas en una tarea computacional bien definida, proporcionando una prueba de concepto para el potencial poder de la computación cuántica.",2019,Google
